Employee ID;Full Name;Job Title;Department;Business Unit;Gender;Ethnicity;Age;Hire Date;Annual Salary;Bonus %;Country;City;Exit Date;Latitude;Longitude
E00005;Riley Washington;Director;Sales;Speciality Products;Female;Caucasian;39;29/04/2007;171487;0.23;United States;Phoenix;;33.6049778;-112.4546902
E00013;Elena Vang;Analyst;Finance;Corporate;Female;Asian;52;19/02/2019;55859;0;China;Beijing;;39.9384171;116.0678242
E00013;Raelynn Ma;Senior Analyst;Finance;Speciality Products;Female;Asian;33;08/10/2015;94876;0;United States;Miami;;25.7823843;-80.3118592
E00022;Elena Her;Account Representative;Sales;Manufacturing;Female;Asian;62;17/09/2006;64669;0;China;Chongqing;;29.5548108;106.3837459
E00023;Gabriel Joseph;Director;Engineering;Manufacturing;Male;Caucasian;52;28/10/2006;187992;0.28;United States;Miami;;25.7823843;-80.3118592
E00034;Caroline Herrera;Senior Manager;Marketing;Manufacturing;Female;Latino;45;19/08/2004;121065;0.15;Brazil;Rio de Janerio;;-22.9140457;-43.6107907
E00035;Lillian Gonzales;Cloud Infrastructure Architect;IT;Manufacturing;Female;Latino;43;13/03/2009;62335;0;Brazil;Manaus;;-3.0446589;-60.0495051
E00044;Scarlett Jenkins;System Administrator;IT;Research & Development;Female;Caucasian;53;09/11/2011;198473;0.32;United States;Miami;;25.7823843;-80.3118592
E00078;Eva Garcia;HRIS Analyst;Human Resources;Corporate;Female;Latino;31;11/04/2021;72235;0;Brazil;Manaus;;-3.0446589;-60.0495051
E00085;Mason Watson;Senior Manager;IT;Corporate;Male;Caucasian;46;14/09/2004;130274;0.11;United States;Chicago;;41.8336152;-87.8967698
E00085;Isla Wong;System Administrator;Accounting;Corporate;Female;Asian;56;16/03/2014;190815;0.4;United States;Austin;;30.3076576;-97.9205502
E00089;Sofia Yoon;Senior Manager;Human Resources;Research & Development;Female;Asian;37;17/01/2011;131353;0.11;China;Shanghai;;31.2239286;121.147112
E00091;Emilia Chu;Analyst II;Finance;Manufacturing;Female;Asian;48;24/06/2003;55760;0;United States;Austin;;30.3076576;-97.9205502
E00096;Peyton Cruz;Development Engineer;Engineering;Manufacturing;Female;Latino;30;26/05/2016;91134;0;Brazil;Sao Paulo;;-23.6820636;-46.9249441
E00099;Brooklyn Salazar;IT Systems Architect;IT;Manufacturing;Female;Latino;44;01/03/2011;82462;0;United States;Austin;;30.3076576;-97.9205502
